ad_placement,format_iab,gender,age,scholarity,marital,income,connection,browser,so,interests_id,type
2,bbn,1,3,2,2,2,0,Chrome,Linux,105,P
1,bbb,1,1,1,1,1,0,Chrome,Windows,15,P
2,bbn,1,2,2,1,2,0,Chrome,Windows,130,P
0,bbn,1,3,2,1,2,0,Chrome,Windows,36,P
2,bbn,1,4,2,1,2,0,Chrome,Windows,137,P
2,bbn,1,2,2,2,1,0,Chrome,Windows,11,P
0,bbh,0,0,0,0,0,0,Chrome,Windows,15,P
1,bbb,2,4,2,2,2,0,Chrome,Linux,3,P
1,bbb,1,1,1,1,1,0,Chrome,Windows,15,P
0,bbn,2,3,2,2,2,0,Firefox,Windows,92,P
1,bbn,1,3,2,2,2,0,Chrome,Windows,1,P
2,bbn,1,4,2,1,1,0,Chrome,Windows,17,P
2,bbn,1,2,2,2,1,0,Chrome,Windows,11,P
0,bbc,1,4,1,2,2,0,Chrome,Windows,8,P
1,bbo,2,3,2,1,2,0,Chrome,Windows,72,P
1,bbi,2,2,1,1,2,0,Chrome,Windows,96,P
0,bbn,1,3,2,1,2,0,Chrome,Windows,36,P
1,bbb,1,0,4,2,2,0,Chrome,Windows,101,P
1,bbb,2,4,2,2,2,0,Chrome,Linux,3,P
2,bbc,2,3,2,2,2,0,Chrome,Windows,15,P
0,bbn,1,3,2,1,2,0,Chrome,Windows,36,P
0,bbn,1,3,2,1,2,0,Chrome,Windows,36,P
1,bbb,1,0,4,2,2,0,Chrome,Windows,101,P
1,bbk,1,3,2,1,2,0,Chrome,Windows,3,P
2,bbb,1,3,2,1,2,0,Chrome,Linux,85,P
1,bbb,2,3,2,1,2,0,Chrome,Linux,3,P
1,bbb,2,3,1,1,1,0,Firefox,Windows,8,P
1,bbi,2,2,1,1,2,0,Chrome,Windows,96,P
0,bbb,0,0,0,0,0,0,Opera,Linux,,P
0,bbn,1,4,2,2,1,0,Chrome,Linux,61,P
0,bbb,1,4,2,2,1,0,Chrome,Windows,130,P
0,bbb,2,4,2,2,1,20,Chrome,Windows,17,P
1,bbb,2,2,2,2,2,0,Firefox,Windows,73,P
2,bbn,1,2,2,1,2,0,Chrome,Windows,130,P
1,bbb,1,1,1,1,1,0,Chrome,Windows,15,P
1,bbo,1,3,2,1,1,0,Chrome,Windows,105,P
2,bbn,1,2,2,1,2,0,Chrome,Windows,130,P
1,bbb,2,4,2,2,2,0,Chrome,Linux,3,P
1,bbi,2,2,1,1,2,0,Chrome,Windows,96,P
1,bbn,1,3,2,1,1,0,Firefox,Windows,80,P
2,bbn,1,3,2,2,2,0,Chrome,Windows,71,P
2,bbn,1,2,2,1,2,0,Chrome,Windows,130,P
1,bbb,2,3,2,1,2,0,Chrome,Linux,3,P
1,bbb,2,4,2,2,2,0,Chrome,Linux,3,P
1,bbb,2,4,2,2,1,0,Chrome,Windows,69,P
1,bbo,2,3,2,1,2,0,Chrome,Windows,72,P
1,bbb,1,1,1,1,1,0,Chrome,Windows,15,P
1,bbb,2,4,2,2,2,0,Chrome,Linux,3,P
1,bbo,2,2,1,1,1,0,Chrome,Windows,36,P
0,bbb,2,2,2,1,3,0,Chrome,Windows,61,P
1,bbn,1,3,2,2,2,0,Chrome,Windows,1,P
0,bbn,1,3,2,1,2,0,Chrome,Windows,36,P
1,bbb,2,4,2,2,1,0,Chrome,Windows,69,P
0,bbb,1,0,0,0,0,0,Safari,Linux,92,P
1,bbn,1,3,2,2,2,0,Chrome,Windows,1,P
0,bbn,1,3,2,1,2,0,Chrome,Windows,36,P
0,bbm,1,2,2,2,1,20,Chrome,Linux,19,P
1,bbn,2,2,2,1,1,18,Safari,Linux,15,P
1,bbo,2,2,1,1,1,0,Chrome,Windows,36,P
2,bbn,1,2,2,2,1,0,Chrome,Windows,11,P
2,bbn,2,5,1,2,2,0,Chrome,Windows,97,P
1,bbn,1,3,2,2,2,0,Chrome,Windows,1,P
1,bbn,2,3,2,1,1,18,Chrome,Windows,73,P
